a	aa
argument	AA r g y aa m aa n T
arjun	AA r j aa n
arm	AA r m
armies	AA r m II z
arms	AA r m z
army	AA r m II
around	aa r aw n D
arrange	aa r ee n j
arranged	aa r ee n j D
arrangement	aa r ee n j m aa n T
arranges	aa r ee n j ii z
arranging	aa r ee n j ii ng
arrest	aa r ex s T
arrested	aa r ex s T aa D
arrive	aa r ay v
arrived	aa r ay v D
arrives	aa r ay v z
arun	AA r UU n
as	ae z
ascent	aa s ex n T
asha	AA sh aa
asha's	ae sh aa z
ashamed	aa sh ee m D
ashes	ae sh aa z
ashore	aa sh OO r
asia	ee jz aa
asian	ee jz aa n
aside	aa s ay D
ask	ae s k
asked	ae s k T
asking	ae s k ii ng
asks	ae s k s
asleep	aa s l II p
ass	ae s
assist	aa s ii s T
assistant	aa s ii s T aa n T
assume	aa s UU m
at	ae T
ate	ee T
atop	aa T AA p
attached	aa T ae c T
attack	aa T ae k
attacked	aa T ae k T
attacking	aa T ae k ii ng
attain	aa T ee n
attempts	aa T ex m p T s
attend	aa T ex n D
attentively	aa T ex n T ii v l II
attic	ae T ii k
attire	aa T ay aa r
attitude	ae T aa T UU D
attitudes	ae T aa T UU D z
attract	aa T r ae k T
attracted	aa T r ae k T aa D
attraction	aa T r ae k sh aa n
attractively	aa T r ae k T ii v l II
attribute	ae T r ii b y UU T
auction	AA k sh aa n
auditioned	OO D ii sh aa n D
august	AA g aa s T
aunt	ae n T
aunts	ae n T s
aunty	OO n T II
author	OO th aa r
authors	OO th aa r z
autumn	OO T aa m
aux	oo
available	aa v ee l aa b aa l
awake	aa w ee k
awakened	aa w ee k aa n D
awards	aa w OO r D z
aware	aa w ex r
away	aa w ee
awe	AA
awesome	AA s aa m
awful	AA f aa l
awkward	AA k w aa r D
awoke	aa w oo k
axe	ae k s
ayesha	ay sh aa
b	b II
ba	b AA
baa	b AA
baba	b aa b aa
babalu	b AA b AA l UU
babies	b ee b II z
babul	b aa b UU l
baby	b ee b II
back	b ae k
background	b ae k g r aw n D
backside	b ae k s ay D
backward	b ae k w aa r D
backwards	b ae k w aa r D z
backyard	b ae k y AA r D
bactrian	b ae k T r II aa n
bad	b ae D
bade	b ee D
badly	b ae D l II
bag	b ae g
bags	b ae g z
bahut	b AA hh aa T
bail	b ee l
bait	b ee T
bake	b ee k
baker	b ee k aa r
bakery	b ee k aa r II
baking	b ee k ii ng
balance	b ae l aa n s
balanced	b ae l aa n s T
ball	b OO l
balls	b OO l z
balsavar	b AA l z AA v AA r
ban	b ae n
banana	b aa n ae n aa
bananas	b aa n ae n aa z
band	b ae n D
bandage	b ae n D ii j
bandaged	b ae n D aa j D
banded	b ae n D ii D
bang	b ae ng
banged	b ae ng D
bangled	b ae ng g aa l D
bank	b ae ng k
banks	b ae ng k s
banquet	b ae ng k w aa T
baobab	b oo b ae b
bapi	b AA p II
bar	b AA r
barber	b AA r b aa r
bare	b ex r
bargaining	b AA r g ii n ii ng
bark	b AA r k
barren	b ae r aa n
base	b ee s
baseball	b ee s b OO l
based	b ee s T
basic	b ee s ii k
bask	b ae s k
basket	b ae s k aa T
baskets	b ae s k aa T s
basking	b ae s k ii ng
bat	b ae T
bataiye	b aa T ee ii
batch	b ae c
bath	b ae th
bathing	b ee d ii ng
bathrooms	b ae th r UU m z
bats	b ae T s
batsman	b ae T s m aa n
battery	b ae T aa r II
batuk	b ae T aa k
bawled	b OO l D
bay	b ee
bb	b II
be	b II
beach	b II c
beach's	b II c aa z
beak	b II k
beaks	b II k s
beam	b II m
bear	b ex r
bears	b ex r z
beat	b II T
beaten	b II T aa n
beating	b II T ii ng
beautiful	b y UU T aa f aa l
beauty	b y UU T II
became	b ii k ee m
because	b ii k OO z
becks	b ex k s
become	b ii k aa m
becomes	b ii k aa m z
becoming	b ii k aa m ii ng
bed	b ex D
bedroom	b ex D r UU m
bee	b II
been	b ii n
beer	b ii r
beers	b ii r z
bees	b II z
beetles	b II T aa l z
before	b ii f OO r
beforehand	b ii f OO r hh ae n D
beg	b ex g
began	b ii g ae n
begged	b ex g D
begging	b ex g ii ng
begin	b ii g ii n
beginning	b ii g ii n ii ng
begins	b ii g ii n z
begun	b ii g aa n
behave	b ii hh ee v
behaving	b ii hh ee v ii ng
behavior	b ii hh ee v y aa r
behaviour	b ii hh ee v y aa r
behead	b ii hh ex D
behind	b ii hh ay n D
being	b II ii ng
beings	b II ii ng z
belays	b ii l ee z
believe	b ii l II v
believed	b ii l II v D
believing	b ii l II v ii ng
bell	b ex l
bellowed	b ex l oo D
belly	b ex l II
belong	b ii l OO ng
belonged	b ii l OO ng D
belonging	b ii l OO ng ii ng
belongs	b ii l OO ng z
below	b ii l oo
belt	b ex l T
bench	b ex n c
bend	b ex n D
beneath	b ii n II th
benefit	b ex n aa f ii T
benevolent	b aa n ex v aa l aa n T
bent	b ex n T
berries	b ex r II z
beside	b ii s ay D
besides	b ii s ay D z
best	b ex s T
bet	b ex T
betray	b ii T r ee
betrayed	b ii T r ee D
better	b ex T aa r
between	b ii T w II n
bey	b ee
beyond	b ii AA n D
bhili	b ii l II
bicycle	b ay s ii k aa l
bid	b ii D
big	b ii g
bigger	b ii g aa r
biggest	b ii g aa s T
bike	b ay k
bikes	b ay k s
bill	b ii l
billing	b ii l ii ng
bills	b ii l z
bin	b ii n
bina	b II n aa
bina's	b ay n aa z
bing	b ii ng
bird	b aa r D
birds	b aa r D z
birth	b aa r th
birthday	b aa r th D ee
biscuits	b ii s k aa T s
bit	b ii T
bite	b ay T
bits	b ii T s
bitter	b ii T aa r
black	b l ae k
blacksmith	b l ae k s m ii th
blade	b l ee D
blair	b l ex r
blame	b l ee m
blanket	b l ae ng k aa T
blankets	b l ae ng k aa T s
blast	b l ae s T
bleach	b l II c
blend	b l ex n D
bless	b l ex s
blessed	b l ex s ii D
blesses	b l ex s ii z
blessing	b l ex s ii ng
blew	b l UU
blind	b l ay n D
blinked	b l ii ng k T
blinking	b l ii ng k ii ng
blonde	b l AA n D
blood	b l aa D
bloods	b l aa D z
bloomed	b l UU m D
blot	b l AA T
blow	b l oo
blowing	b l oo ii ng
blown	b l oo n
blows	b l oo z
blue	b l UU
blueberries	b l UU b ex r II z
bo	b oo
boar	b OO r
board	b OO r D
boards	b OO r D z
boars	b OO r z
boasting	b oo s T ii ng
boat	b oo T
boating	b oo T ii ng
boats	b oo T s
bob	b AA b
bodies	b AA D II z
body	b AA D II
boil	b oy l
boiling	b oy l ii ng
bolder	b oo l D aa r
bolt	b oo l T
bombers	b AA m aa r z
bombs	b AA m z
bones	b oo n z
boo	b UU
book	b uu k
bookbox	b uu k b AA k s
booked	b uu k T
books	b uu k s
boom	b UU m
boos	b UU z
boosting	b UU s T ii ng
boot	b UU T
booth	b UU th
bore	b OO r
boredom	b OO r D aa m
boring	b OO r ii ng
born	b OO r n
borrowing	b AA r oo ii ng
bot	b AA T
both	b oo th
bother	b AA d aa r
bothered	b AA d aa r D
bothering	b AA d aa r ii ng
bottom	b AA T aa m
bought	b AA T
bounced	b aw n s T
bouquet	b UU k ee
bout	b aw T
bow	b aw
bowl	b oo l
bowled	b oo l D
bowls	b oo l z
box	b AA k s
boy	b oy
boy's	b oy z
boys	b oy z
brad	b r ae D
bragging	b r ae g ii ng
brain	b r ee n
brains	b r ee n z
brakes	b r ee k s
branch	b r ae n c
branches	b r ae n c aa z
brand	b r ae n D
brands	b r ae n D z
brash	b r ae sh
brave	b r ee v
braved	b r ee v D
bravely	b r ee v l II
bravest	b r ee v aa s T
bread	b r ex D
breads	b r ex D z
break	b r ee k
breaking	b r ee k ii ng
breakup	b r ee k aa p
breakups	b r ee k aa p s
breath	b r ex th
breathes	b r II d z
breathing	b r II d ii ng
breed	b r II D
breeds	b r II D z
brew	b r UU
brewing	b r UU ii ng
brey	b r ee
brick	b r ii k
bride	b r ay D
bride's	b r ay D z
brides'	b r ay D z
brides'	b r ay D s
bridge	b r ii j
bridges	b r ii j aa z
brief	b r II f
bright	b r ay T
brightened	b r ay T aa n D
brighter	b r ay T aa r
brightly	b r ay T l II
brilliant	b r ii l y aa n T
bring	b r ii ng
bringing	b r ii ng ii ng
brings	b r ii ng z
broke	b r oo k
bronze	b r AA n z
brooms	b r UU m z
brother	b r aa d aa r
brothered	b r aa d aa r D
brothers	b r aa d aa r z
brought	b r OO T
brown	b r aw n
brush	b r aa sh
brushes	b r aa sh ii z
bubble	b aa b aa l
bubbles	b aa b aa l z
bubbly	b aa b l II
bucket	b aa k aa T
buckle	b aa k aa l
bud	b aa D
buddy	b aa D II
budge	b aa j
bug	b aa g
bugged	b aa g D
buggy	b aa g II
build	b ii l D
building	b ii l D ii ng
buildings	b ii l D ii ng z
built	b ii l T
bull	b uu l
bum	b aa m
bump	b aa m p
bun	b aa n
bundle	b aa n D aa l
bunty	b aa n T II
bura	b y UU r aa
buried	b ex r II D
burma	b aa r m aa
burn	b aa r n
burned	b aa r n D
burning	b aa r n ii ng
burnt	b aa r n T
burst	b aa r s T
bursting	b aa r s T ii ng
bursts	b aa r s T s
bus	b aa s
bush	b uu sh
bushes	b uu sh aa z
business	b ii z n aa s
bust	b aa s T
busy	b ii z II
but	b aa T
butter	b aa T aa r
butterflies	b aa T aa r f l ay z
butterfly	b aa T aa r f l ay
butterfly's	b aa T aa r f l ay z
button	b aa T aa n
buy	b ay
buys	b ay z
buzzing	b aa z ii ng
by	b ay
bye	b ay
c	s II
cactus	k ae k T aa s
cage	k ee j
cages	k ee j ii z
cake	k ee k
cakes	k ee k s
call	k OO l
called	k OO l D
calling	k OO l ii ng
calls	k OO l z
calm	k AA m
calmly	k AA m l II
cam	k ae m
came	k ee m
camel	k ae m aa l
camel's	k ae m aa l z
camels	k ae m aa l z
camera	k ae m aa r aa
cameras	k ae m aa r aa z
camouflage	k ae m aa f l AA jz
camp	k ae m p
camping	k ae m p ii ng
can	k ae n
can't	k ae n T
candidates	k ae n D aa D ee T s
candy	k ae n D II
cane	k ee n
canned	k ae n D
cannot	k ae n AA T
cant	k ae n T
cap	k ae p
cape	k ee p
caps	k ae p s
captured	k ae p c aa r D
car	k AA r
carbon	k AA r b aa n
card	k AA r D
care	k ex r
career	k aa r ii r
careful	k ex r f aa l
carefully	k ex r f aa l II
caring	k ex r ii ng
carla	k AA r l aa
carmel	k AA r m ex l
carpenter	k AA r p aa n T aa r
carried	k ae r II D
carrot	k ae r aa T
carrots	k ae r aa T s
carry	k ae r II
carrying	k ae r II ii ng
cars	k AA r z
cart	k AA r T
carted	k AA r T ii D
carve	k AA r v
carver	k AA r v aa r
carver's	k AA r v aa r z
case	k ee s
cash	k ae sh
cast	k ae s T
castle	k ae s aa l
castles	k ae s aa l z
cat	k ae T
catch	k ae c
catched	k ae c T
catches	k ae c aa z
catching	k ae c ii ng
cathy	k ae th II
cats	k ae T s
cattle	k ae T aa l
caught	k AA T
cause	k AA z
caused	k AA z D
causing	k AA z ii ng
cautioned	k AA sh aa n D
cave	k ee v
caves	k ee v z
cecilia	s ii s II l y aa
ceiling	s II l ii ng
ceilings	s II l ii ng z
celebrate	s ex l aa b r ee T
celebrations	s ex l aa b r ee sh aa n z
cell	s ex l
cement	s aa m ex n T
center	s ex n T aa r
centre	s ex n T aa r
century	s ex n c aa r II
certain	s aa r T aa n
certainly	s aa r T aa n l II
cessed	s ex s T
chain	c ee n
chains	c ee n z
chair	c ex r
chance	c ae n s
change	c ee n j
changed	c ee n j D
changes	c ee n j aa z
changing	c ee n j ii ng
channel	c ae n aa l
chant	c ae n T
chanting	c ae n T ii ng
chapatti	c aa p AA T II
character	k ex r ii k T aa r
characteristic	k ex r aa k T aa r ii s T ii k
characters	k ae r ii k T aa r z
charge	c AA r j
chase	c ee s
chased	c ee s T
chases	c ee s aa z
chasing	c ee s ii ng
chat	c ae T
chatted	c ae T aa D
chattered	c ae T aa r D
check	c ex k
checked	c ex k T
cheeks	c II k s
cheeku	c II k UU
cheeku's	c II k UU z
cheekus	c II k aa s
cheer	c ii r
cheered	c ii r D
cheerfully	c ii r f aa l II
cheese	c II z
cheeses	c II z ii z
chemical	k ex m aa k aa l
chemicals	k ex m ii k aa l z
cherished	c ex r ii sh T
cherries	c ex r II z
cherry	c ex r II
chess	c ex s
chest	c ex s T
chick	c ii k
chief	c II f
chikootichoo	k ii k UU c AA T oo
child	c ay l D
childhood	c ay l D hh uu D
children	c ii l D r aa n
children's	c ii l D r aa n z
childrens	c ii l D r aa n z
chill	c ii l
chilled	c ii l D
chilly	c ii l II
chin	c ii n
china	c ay n aa
chintu	c ii n T UU
chirped	c aa r p T
chirping	c aa r p ii ng
chocolates	c OO k l aa T s
choice	c oy s
choose	c UU z
choosen	c UU s aa n
chopped	c AA p T
chopping	c AA p ii ng
chose	c oo z
chosen	c oo z aa n
christmas	k r ii s m aa s
chrome	k r oo m
chronicles	k r AA n ii k aa l z
chunk	c aa ng k
chunks	c aa ng k s
church	c aa r c
cinema	s ii n aa m aa
cinematographer	s ii n ii m aa T AA g r aa f aa r
circle	s aa r k aa l
circles	s aa r k aa l z
circular	s aa r k y aa l aa r
circumstance	s aa r k aa m s T ae n s
citrus	s ii T r aa s
city	s ii T II
claim	k l ee m
claimed	k l ee m D
clam	k l ae m
clamp	k l ae m p
clap	k l ae p
clapped	k l ae p T
clapping	k l ae p ii ng
claps	k l ae p s
class	k l ae s
classes	k l ae s aa z
classroom	k l ae s r UU m
classrooms	k l ae s r UU m z
claw	k l OO
claws	k l OO z
clay	k l ee
clean	k l II n
cleaned	k l II n D
cleaning	k l II n ii ng
clear	k l ii r
clearing	k l ii r ii ng
clever	k l ex v aa r
cleverly	k l ex v aa r l II
click	k l ii k
clicking	k l ii k ii ng
cliff	k l ii f
climate	k l ay m aa T
climb	k l ay m
climbed	k l ay m D
climber	k l ay m aa r
climbers	k l ay m aa r z
climbing	k l ay m ii ng
climbs	k l ay m z
clime	k l ay m
cling	k l ii ng
clinging	k l ii ng ii ng
clinic	k l ii n ii k
clip	k l ii p
cloak	k l oo k
clock	k l AA k
close	k l oo s
closed	k l oo z D
closely	k l oo s l II
closer	k l oo z aa r
closest	k l oo s aa s T
closet	k l AA z aa T
cloth	k l OO th
clothe	k l oo d
clothes	k l oo d z
cloud	k l aw D
clouds	k l aw D z
club	k l aa b
clues	k l UU z
clutch	k l aa c
co	k oo
coal	k oo l
coat	k oo T
coats	k oo T s
coaxed	k oo k s T
cob	k AA b
cobra	k oo b r aa
coconut	k oo k aa n aa T
coconuts	k oo k aa n aa T s
code	k oo D
coil	k oy l
coin	k oy n
coins	k oy n z
cold	k oo l D
colder	k oo l D aa r
coldest	k oo l D aa s T
collapsed	k aa l ae p s T
collar	k AA l aa r
collars	k AA l aa r z
collect	k AA l ex k T
collected	k aa l ex k T aa D
collecting	k aa l ex k T ii ng
colonies	k AA l aa n II z
colorful	k aa l aa r f aa l
colors	k aa l aa r z
colour	k aa l aw r
colourful	k aa l aa r f aa l
colours	k aa l aa r z
combine	k AA m b ay n
combined	k aa m b ay n D
combines	k aa m b ay n z
come	k aa m
comes	k aa m z
comfortable	k aa m f aa r T aa b aa l
comic	k AA m ii k
comics	k AA m ii k s
coming	k aa m ii ng
command	k aa m ae n D
commands	k aa m ae n D z
commenced	k aa m ex n s T
commend	k aa m ex n D
comment	k AA m ex n T
comments	k AA m ex n T s
commit	k aa m ii T
commitment	k aa m ii T m aa n T
common	k AA m aa n
community	k aa m y UU n aa T II
companion	k aa m p ae n y aa n
company	k aa m p aa n II
compare	k aa m p ex r
compassion	k aa m p ae sh aa n
competitive	k aa m p ex T aa T ii v
complain	k aa m p l ee n
complained	k aa m p l ee n D
complaining	k aa m p l ee n ii ng
complaint	k aa m p l ee n T
complaints	k aa m p l ee n T s
complete	k aa m p l II T
completed	k aa m p l II T aa D
completes	k aa m p l II T s
completing	k aa m p l II T ii ng
complex	k AA m p l ex k s
complicated	k AA m p l aa k ee T aa D
component	k aa m p oo n aa n T
con	k AA n
conceal	k aa n s II l
concealed	k aa n s II l D
concede	k aa n s II D
concentrate	k AA n s aa n T r ee T
concentrated	k AA n s aa n T r ee T aa D
concentration	k AA n s aa n T r ee sh aa n
concern	k aa n s aa r n
concert	k AA n s aa r T
condition	k aa n D ii sh aa n
confirm	k aa n f aa r m
confirmed	k aa n f aa r m D
confuse	k aa n f y UU z
confused	k aa n f y UU z D
congratulations	k aa n g r ae c aa l ee sh aa n z
connect	k aa n ex k T
connecting	k aa n ex k T ii ng
cons	k AA n z
consequence	k AA n s aa k w aa n s
consequences	k AA n s aa k w ex n s aa z
conservation	k AA n s aa r v ee sh aa n
consider	k aa n s ii D aa r
considerable	k aa n s ii D aa r aa b aa l
consideration	k aa n s ii D aa r ee sh aa n
considered	k aa n s ii D aa r D
considers	k aa n s ii D aa r z
consist	k aa n s ii s T
consists	k aa n s ii s T s
consolate	k AA n s aa l ee T
console	k AA n s oo l
consoled	k aa n s oo l D
constant	k AA n s T aa n T
consulate	k AA n s aa l aa T
consult	k aa n s aa l T
contact	k AA n T ae k T
containers	k aa n T ee n aa r z
contains	k aa n T ee n z
content	k AA n T ex n T
contented	k aa n T ex n T aa D
contentment	k aa n T ex n T m aa n T
contest	k AA n T ex s T
continually	k aa n T ii n y UU aa l II
continue	k aa n T ii n y UU
continued	k aa n T ii n y UU D
continuous	k aa n T ii n y UU aa s
contrast	k AA n T r ae s T
contributions	k AA n T r aa b y UU sh aa n z
control	k aa n T r oo l
controlling	k aa n T r oo l ii ng
convenience	k aa n v II n y aa n s
convenient	k aa n v II n y aa n T
convent	k AA n v aa n T
cook	k uu k
cooked	k uu k T
cooker	k uu k aa r
cookies	k uu k II z
cooking	k uu k ii ng
cool	k UU l
coolest	k UU l aa s T
cools	k UU l z
copied	k AA p II D
copy	k AA p II
coral	k OO r aa l
cord	k OO r D
cordially	k OO r j aa l II
cords	k OO r D z
core	k OO r
corn	k OO r n
corner	k OO r n aa r
correct	k aa r ex k T
correctly	k aa r ex k T l II
cost	k AA s T
costly	k AA s T l II
cosy	k oo z II
cottage	k AA T aa j
cotton	k AA T aa n
could	k uu D
couldn't	k uu D aa n T
count	k aw n T
counted	k aw n T aa D
country	k aa n T r II
couple	k aa p aa l
couples	k aa p aa l z
courage	k aa r aa j
courageous	k aa r ee j aa s
course	k OO r s
court	k OO r T
courtyard	k OO r T y AA r D
cousin	k aa z aa n
cover	k aa v aa r
covered	k aa v aa r D
covers	k aa v aa r z
cow	k aw
cowed	k aw D
cows	k aw z
cozy	k oo z II
crack	k r ae k
cracked	k r ae k T
crafted	k r ae f T ii D
craggy	k r ae g II
cram	k r ae m
crash	k r ae sh
crashes	k r ae sh ii z
craving	k r ee v ii ng
crawled	k r OO l D
crayons	k r ee AA n z
craze	k r ee z
crazy	k r ee z II
cream	k r II m
creams	k r II m z
create	k r II ee T
created	k r II ee T aa D
creates	k r II ee T s
creating	k r II ee T ii ng
creature	k r II c aa r
creature's	k r II c aa r z
creatures	k r II c aa r z
creeper	k r II p aa r
crews	k r UU z
cricket	k r ii k aa T
cried	k r ay D
cries	k r ay z
crime	k r ay m
criticism	k r ii T ii s ii z aa m
crocodile	k r AA k aa D ay l
crop	k r AA p
crops	k r AA p s
cross	k r OO s
crossed	k r OO s T
crossing	k r OO s ii ng
crow	k r oo
crow's	k r oo z
crowed	k r oo D
crown	k r aw n
crows	k r oo z
crucial	k r UU sh aa l
crumbs	k r aa m z
crunch	k r aa n c
crush	k r aa sh
crust	k r aa s T
cry	k r ay
crying	k r ay ii ng
cubs	k aa b z
cucumber	k y UU k aa m b aa r
cucumbers	k y UU k aa m aa r z
culprit	k aa l p r ii T
cum	k aa m
cup	k aa p
cures	k y uu r z
curiosity	k y uu r II AA s aa T II
curious	k y uu r II aa s
curiously	k y uu r II aa s l II
curl	k aa r l
curled	k aa r l D
curly	k aa r l II
current	k aa r aa n T
currently	k aa r aa n T l II
curse	k aa r s
curtain	k aa r T aa n
curtains	k aa r T aa n z
curve	k aa r v
curving	k aa r v ii ng
custom	k aa s T aa m
customer	k aa s T aa m aa r
customers	k aa s T aa m aa r z
cut	k aa T
cute	k y UU T
cuter	k y UU T aa r
cutrain	k aa T r ee n
cuts	k aa T s
cutter	k aa T aa r
cutters	k aa T aa r z
cutting	k aa T ii ng
cycle	s ay k aa l
cycled	s ay k aa l D
cycles	s ay k aa l z
cycling	s ay k aa l ii ng
d	D II
daawid	D AA w ii D
dad	D ae D
daily	D ee l II
dainty	D ee n T II
dam	D ae m
damage	D ae m aa j
damp	D ae m p
dams	D ae m z
dance	D ae n s
danced	D ae n s T
dancing	D ae n s ii ng
danger	D ee n j aa r
dangerous	D ee n j aa r aa s
dangers	D ee n j aa r z
danny	D ae n II
danny's	D ae n II z
danzil	D ae n z aa l
dared	D ex r D
dark	D AA r k
darker	D AA r k aa r
darkness	D AA r k n aa s
dart	D AA r T
darted	D AA r T ii D
dashed	D ae sh T
date	D ee T
dates	D ee T s
daughter	D OO T aa r
david	D ee v ii D
david's	D ee v ii D z
daw	D OO
dawn	D OO n
day	D ee
daybreak	D ee b r ee k
daydream	D ee D r II m
days	D ee z
dead	D ex D
deafness	D ex f n aa s
deal	D II l
dealing	D II l ii ng
dealt	D ex l T
dear	D ii r
dearly	D ii r l II
death	D ex th
debate	D aa b ee T
debut	D ee b y UU
decide	D ii s ay D
decided	D ii s ay D ii D
decision	D ii s ii jz aa n
declare	D ii k l ex r
declared	D ii k l ex r D
dedicated	D ex D aa k ee T aa D
dedication	D ex D aa k ee sh aa n
dee	D II
deed	D II D
deem	D II m
deemed	D II m D
deep	D II p
deepa	D II p aa
deeper	D II p aa r
deepesh	D ii p ex sh
deepest	D II p aa s T
deer	D ii r
defective	D ii f ex k T ii v
defend	D ii f ex n D
defense	D ii f ex n s
definition	D ex f aa n ii sh aa n
deforestation	D ii f OO r ii s T ee sh aa n
deity	D II aa T II
delay	D ii l ee
delete	D ii l II T
delhi	D ex l II
delicious	D ii l ii sh aa s
deliciously	D ii l ii sh aa sh l II
delight	D ii l ay T
delighted	D ii l ay T aa D
delivers	D ii l ii v aa r z
demand	D ii m ae n D
demanded	D ii m ae n D aa D
den	D ex n
denny	D ex n II
dense	D ex n s
denz	D ex n z
denzal	D ex n z aa l
denzil	D ex n z aa l
denzils	D ex n z aa l z
denzy	D ex n z II
depend	D ii p ex n D
depends	D ii p ex n D z
description	D ii s k r ii p sh aa n
desert	D ex z aa r T
deserts	D ex z aa r T s
deserve	D ii z aa r v
deserver	D ex z aa r v aa r
deserves	D ii z aa r v z
design	D ii z ay n
desire	D ii z ay aa r
despaired	D ii s p ex r D
desperately	D ex s p aa r aa T l II
despite	D ii s p ay T
destiny	D ex s T aa n II
destroy	D ii s T r oy
destroyed	D ii s T r oy D
detached	D ii T ae c T
detective	D ii T ex k T ii v
determined	D ii T aa r m aa n D
dev	D ex v
